,playerID,nameFirst,nameLast,debut,finalGame,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,Years_Played,Af,Ef,DPf,HoF,Most Valuable Player,AS_games,Gold Glove,Rookie of the Year,World Series MVP,Silver Slugger,G_all,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,pre1920,1920-41,1942-45,1946-62,1963-76,1977-92,1993-2009,post2009,G_p_percent,G_c_percent,G_1b_percent,G_2b_percent,G_3b_percent,G_ss_percent,G_lf_percent,G_cf_percent,G_rf_percent,G_of_percent,G_dh_percent,pre1920_percent,1920-41_percent,1942-45_percent,1946-62_percent,1963-76_percent,1977-92_percent,1993-2009_percent,post2009_percent,throws_R,bats_R,debutYear,finalYear,AVE,OBP,Slug_Percent,OPS
1328,betchfr01,Frank,Betcher,1910-05-21,1910-10-13,35,89,7,18,2,0,0,6.0,1.0,7,14.0,2.0,3.0,0.0,1,61.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,0,0,6,7,13,1,1,0,2,0.0,35,0,0,0,0,0,0,0,0.0,0.0,0.0,0.17142857142857143,0.2,0.37142857142857144,0.02857142857142857,0.02857142857142857,0.0,0.05714285714285714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1910.0,1910.0,0.20224719101123595,0.26732673267326734,0.2247191011235955,0.49204583379686284
1329,betemwi01,Wilson,Betemit,2001-09-18,2013-09-12,805,2093,264,558,126,8,75,283.0,9.0,211,612.0,4.0,8.0,19.0,11,868.0,75.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805,0,0,81,20,458,79,8,0,1,9,35.0,0,0,0,0,0,0,516,289,0.0,0.0,0.10062111801242236,0.024844720496894408,0.568944099378882,0.09813664596273292,0.009937888198757764,0.0,0.0012422360248447205,0.011180124223602485,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.6409937888198758,0.3590062111801242,1,0,2001.0,2013.0,0.2666029622551362,0.3310492505353319,0.4419493549928333,0.7729986055281652
1331,bethebi01,Bill,Bethea,1964-09-13,1964-09-29,10,30,4,5,1,0,0,2.0,0.0,4,4.0,0.0,1.0,0.0,1,16.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,7,0,3,0,0,0,0,0.0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1964.0,1964.0,0.16666666666666666,0.2571428571428571,0.2,0.45714285714285713
1334,bettela01,Larry,Bettencourt,1928-06-02,1932-09-17,168,395,61,102,19,6,8,53.0,7.0,60,60.0,3.0,6.0,0.0,3,76.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,0,1,0,0,43,0,5,0,60,64,0.0,0,168,0,0,0,0,0,0,0.0,0.005952380952380952,0.0,0.0,0.25595238095238093,0.0,0.02976190476190476,0.0,0.35714285714285715,0.38095238095238093,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1928.0,1932.0,0.2582278481012658,0.35560344827586204,0.39746835443037976,0.7530718027062417
1338,bettsmo01,Mookie,Betts,2014-06-29,2019-07-24,644,2606,478,789,189,21,110,390.0,110.0,274,363.0,16.0,4.0,23.0,5,80.0,16.0,16.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,644,0,0,0,15,0,0,0,175,453,622,4.0,0,0,0,0,0,0,0,644,0.0,0.0,0.0,0.023291925465838508,0.0,0.0,0.0,0.2717391304347826,0.703416149068323,0.9658385093167702,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014.0,2019.0,0.3027628549501151,0.3691412931919261,0.5180353031465849,0.887176596338511
1339,betzebr01,Bruno,Betzel,1914-09-03,1918-09-02,448,1444,135,333,37,25,2,94.0,49.0,90,189.0,5.0,38.0,0.0,5,1002.0,99.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,0,0,0,202,176,3,14,20,23,57,0.0,450,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4488888888888889,0.39111111111111113,0.006666666666666667,0.03111111111111111,0.044444444444444446,0.051111111111111114,0.12666666666666668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1914.0,1918.0,0.23060941828254847,0.2714013950538998,0.2950138504155125,0.5664152454694122
1340,bevacku01,Kurt,Bevacqua,1971-06-20,1985-10-06,970,2117,214,499,90,11,27,275.0,12.0,221,329.0,5.0,24.0,31.0,15,846.0,80.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970,0,0,129,133,328,9,47,0,25,72,47.0,0,0,0,0,346,624,0,0,0.0,0.0,0.13298969072164948,0.13711340206185568,0.33814432989690724,0.009278350515463918,0.04845360824742268,0.0,0.02577319587628866,0.07422680412371134,0.04845360824742268,0.0,0.0,0.0,0.0,0.35670103092783506,0.643298969072165,0.0,0.0,1,1,1971.0,1985.0,0.23571091166745395,0.30233527939949956,0.32687765706188004,0.6292129364613797
1341,bevanha01,Hal,Bevan,1952-04-24,1961-05-13,15,24,2,7,0,0,1,5.0,2.0,0,3.0,0.0,0.0,0.0,3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,8,0,0,0,0,0,0.0,0,0,0,15,0,0,0,0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1952.0,1961.0,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.7083333333333334
1351,biancbu01,Buddy,Biancalana,1982-09-12,1987-10-04,311,550,70,113,16,7,6,30.0,8.0,41,157.0,0.0,15.0,0.0,6,595.0,45.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,0,0,0,60,0,243,0,0,0,0,6.0,0,0,0,0,0,311,0,0,0.0,0.0,0.0,0.19292604501607716,0.0,0.7813504823151125,0.0,0.0,0.0,0.0,0.01929260450160772,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1982.0,1987.0,0.20545454545454545,0.25412541254125415,0.2927272727272727,0.5468526852685269
1352,biancje01,Jeff,Bianchi,2012-07-13,2015-06-14,165,377,34,81,11,1,4,40.0,4.0,18,76.0,1.0,4.0,4.0,4,270.0,14.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,0,0,0,27,59,45,3,0,0,3,0.0,0,0,0,0,0,0,0,165,0.0,0.0,0.0,0.16363636363636364,0.3575757575757576,0.2727272727272727,0.01818181818181818,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2012.0,2015.0,0.21485411140583555,0.24752475247524752,0.28116710875331563,0.5286918612285632
1353,biancto01,Tommy,Bianco,1975-05-28,1975-09-27,18,34,6,6,1,0,0,0.0,0.0,3,7.0,1.0,0.0,0.0,1,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,5,0,7,0,0,0,0,0,2.0,0,0,0,0,18,0,0,0,0.0,0.0,0.2777777777777778,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1975.0,1975.0,0.17647058823529413,0.2631578947368421,0.20588235294117646,0.46904024767801855
1354,biasaha01,Hank,Biasatti,1949-04-23,1949-10-02,21,24,6,2,2,0,0,2.0,0.0,8,5.0,0.0,1.0,0.0,1,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,8,0,0,0,0,0,0,0,0.0,0,0,0,21,0,0,0,0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1949.0,1949.0,0.08333333333333333,0.30303030303030304,0.16666666666666666,0.4696969696969697
1357,bicheda01,Dante,Bichette,1988-09-05,2001-10-06,1704,6381,934,1906,401,27,274,1141.0,152.0,355,1078.0,41.0,5.0,73.0,14,128.0,80.0,38.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1704,0,0,0,0,1,0,648,56,908,1552,89.0,0,0,0,0,0,424,1280,0,0.0,0.0,0.0,0.0,0.0005868544600938967,0.0,0.38028169014084506,0.03286384976525822,0.5328638497652582,0.9107981220657277,0.052230046948356805,0.0,0.0,0.0,0.0,0.0,0.24882629107981222,0.7511737089201878,0.0,1,1,1988.0,2001.0,0.29869926343833253,0.3358132749817651,0.4988246356370475,0.8346379106188127
1365,bielaos01,Oscar,Bielaski,1872-04-24,1876-08-21,174,746,117,179,7,2,0,52.0,0.0,10,18.0,0.0,0.0,0.0,5,33.0,88.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,0,0,1,1,0,0,6,1,167,172,0.0,173,0,0,0,0,0,0,0,0.0,0.0,0.005780346820809248,0.005780346820809248,0.0,0.0,0.03468208092485549,0.005780346820809248,0.9653179190751445,0.9942196531791907,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1872.0,1876.0,0.23994638069705093,0.25,0.2546916890080429,0.5046916890080428
1368,bierblo01,Lou,Bierbauer,1886-04-17,1898-04-30,1385,5713,821,1524,209,95,34,839.0,206.0,268,0.0,15.0,0.0,0.0,13,4600.0,585.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1385,4,5,0,1366,14,3,0,0,0,0,0.0,1385,0,0,0,0,0,0,0,0.002888086642599278,0.0036101083032490976,0.0,0.9862815884476535,0.010108303249097473,0.0021660649819494585,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1886.0,1898.0,0.26676002100472607,0.3013675783855904,0.3544547523192718,0.6558223307048623
1371,biermch01,Charles,Bierman,1871-06-21,1871-06-21,1,2,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1871.0,1871.0,0.0,0.3333333333333333,0.0,0.3333333333333333
1372,biesest01,Steve,Bieser,1997-04-01,1998-07-28,60,80,18,20,4,0,0,5.0,2.0,9,22.0,4.0,0.0,1.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,2,0,0,0,0,10,13,1,22,0.0,0,0,0,0,0,0,60,0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.21666666666666667,0.016666666666666666,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1997.0,1998.0,0.25,0.35106382978723405,0.3,0.651063829787234
1373,bigbeca01,Carson,Bigbee,1916-08-24,1926-08-07,1147,4192,629,1205,139,75,17,324.0,182.0,344,161.0,21.0,109.0,0.0,11,241.0,97.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1148,0,0,0,39,1,2,890,107,29,1024,0.0,394,754,0,0,0,0,0,0,0.0,0.0,0.0,0.03397212543554007,0.0008710801393728223,0.0017421602787456446,0.7752613240418118,0.09320557491289198,0.025261324041811847,0.89198606271777,0.0,0.343205574912892,0.6567944250871081,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1916.0,1926.0,0.2874522900763359,0.3364766395199314,0.3685591603053435,0.705035799825275
1375,bigbila01,Larry,Bigbie,2001-06-23,2006-06-04,392,1227,164,328,56,4,31,137.0,25.0,119,302.0,2.0,10.0,9.0,6,14.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392,0,0,0,0,0,0,269,68,34,355,2.0,0,0,0,0,0,0,392,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6862244897959183,0.17346938775510204,0.08673469387755102,0.9056122448979592,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,2001.0,2006.0,0.267318663406683,0.3284564740307242,0.3952730236348818,0.723729497665606
1376,bigelel01,Elliot,Bigelow,1929-04-18,1929-10-06,100,211,23,60,16,0,1,26.0,1.0,23,18.0,1.0,5.0,0.0,1,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0,0,0,0,0,2,1,56,59,0.0,0,100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.56,0.59,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1929.0,1929.0,0.2843601895734597,0.35,0.3744075829383886,0.7244075829383886
1380,biglepe01,Ivan,Bigler,1917-05-06,1917-05-06,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1917.0,1917.0,,,,
1382,biittla01,Larry,Biittner,1970-07-17,1983-09-29,1217,3151,310,861,144,20,29,354.0,10.0,236,287.0,11.0,18.0,27.0,14,310.0,58.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1217,1,0,381,0,0,0,271,14,220,491,12.0,0,0,0,0,516,701,0,0,0.0008216926869350862,0.0,0.31306491372226786,0.0,0.0,0.0,0.22267871815940837,0.011503697617091208,0.18077239112571897,0.40345110928512734,0.009860312243221035,0.0,0.0,0.0,0.0,0.4239934264585045,0.5760065735414954,0.0,0.0,0,0,1970.0,1983.0,0.2732465883846398,0.3218123729305838,0.35925103141859727,0.681063404349181
1386,bilkost01,Steve,Bilko,1949-09-22,1962-08-23,600,1738,220,432,85,13,76,276.0,2.0,234,395.0,3.0,3.0,0.0,10,359.0,36.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,0,0,478,0,0,0,0,0,3,3,0.0,0,0,0,600,0,0,0,0,0.0,0.0,0.7966666666666666,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1949.0,1962.0,0.24856156501726123,0.33822042467138524,0.4436133486766398,0.7818337733480251
1395,binksge01,George,Binks,1944-09-23,1948-07-03,351,1093,112,277,55,10,8,130.0,21.0,67,108.0,4.0,17.0,0.0,5,42.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351,0,0,37,0,0,0,70,88,102,253,0.0,0,0,150,201,0,0,0,0,0.0,0.0,0.10541310541310542,0.0,0.0,0.0,0.19943019943019943,0.25071225071225073,0.2905982905982906,0.7207977207977208,0.0,0.0,0.0,0.42735042735042733,0.5726495726495726,0.0,0.0,0.0,0.0,0,0,1944.0,1948.0,0.25343092406221407,0.29466553767993225,0.34400731930466605,0.6386728569845983
1396,birasst01,Steve,Biras,1944-09-15,1944-09-26,2,2,0,2,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,0,0,0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1944.0,1944.0,1.0,1.0,1.0,2.0
1397,birchju01,Jud,Birchall,1882-05-02,1884-10-10,225,1007,196,254,24,4,1,0.0,0.0,32,0.0,0.0,0.0,0.0,3,55.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,0,0,0,1,2,0,221,0,1,222,0.0,225,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0044444444444444444,0.008888888888888889,0.0,0.9822222222222222,0.0,0.0044444444444444444,0.9866666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1882.0,1884.0,0.2522343594836147,0.27526467757459094,0.2869910625620655,0.5622557401366565
1400,birdge01,George,Bird,1871-05-06,1871-09-15,25,106,19,28,2,5,0,13.0,1.0,3,2.0,0.0,0.0,0.0,1,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,0,0,0,0,1,25,0,25,0.0,25,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1871.0,1871.0,0.2641509433962264,0.28440366972477066,0.37735849056603776,0.6617621602908084
1401,birdgr01,Greg,Bird,2015-08-13,2019-04-13,176,576,69,123,32,1,31,97.0,0.0,68,173.0,8.0,0.0,7.0,3,73.0,3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176,0,0,166,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,176,0.0,0.0,0.9431818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,2015.0,2019.0,0.21354166666666666,0.30197268588770865,0.4340277777777778,0.7360004636654864
1408,birmijo01,Joe,Birmingham,1906-09-12,1914-07-25,771,2633,284,667,89,27,7,265.0,108.0,129,0.0,24.0,74.0,0.0,9,189.0,80.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773,0,0,11,0,19,4,40,643,30,710,0.0,773,0,0,0,0,0,0,0,0.0,0.0,0.014230271668822769,0.0,0.02457956015523933,0.00517464424320828,0.0517464424320828,0.8318240620957309,0.03880983182406209,0.9184993531694696,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1906.0,1914.0,0.25332320546904674,0.2867132867132867,0.31560957083175084,0.6023228575450376
1418,bishofr01,Frank,Bishop,1884-05-27,1884-05-30,4,16,1,3,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,3,1,0,0,0,0,0.0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1884.0,1884.0,0.1875,0.1875,0.25,0.4375
1421,bishoma01,Max,Bishop,1924-04-15,1935-09-21,1338,4494,966,1216,236,35,41,379.0,43.0,1153,452.0,31.0,98.0,0.0,12,3863.0,164.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340,0,0,26,1231,0,2,0,0,0,0,0.0,0,1340,0,0,0,0,0,0,0.0,0.0,0.019402985074626865,0.9186567164179105,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1924.0,1935.0,0.2705829995549622,0.4155124653739612,0.3660436137071651,0.7815560790811262
1423,bislari01,Rivington,Bisland,1912-09-13,1914-06-12,31,102,12,12,1,0,0,5.0,2.0,8,7.0,1.0,1.0,0.0,3,76.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0,0,0,1,28,0,0,0,0,0.0,32,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.03125,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1912.0,1914.0,0.11764705882352941,0.1875,0.12745098039215685,0.31495098039215685
1424,bissode01,Del,Bissonette,1928-04-11,1933-06-04,604,2291,359,699,117,50,66,391.0,17.0,233,269.0,6.0,34.0,0.0,5,281.0,75.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604,0,0,598,0,0,0,0,0,0,0,0.0,0,604,0,0,0,0,0,0,0.0,0.0,0.9900662251655629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1928.0,1933.0,0.30510694020078566,0.3658346333853354,0.4862505456132693,0.8520851789986047
1428,bittmre01,Red,Bittmann,1889-10-10,1889-10-14,4,14,2,4,0,0,0,2.0,1.0,1,1.0,0.0,0.0,0.0,1,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,4,0,0,0,0,0,0,0.0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1889.0,1889.0,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.6190476190476191
1430,bixlebr01,Brian,Bixler,2008-04-06,2012-07-28,183,323,41,61,14,3,2,14.0,9.0,22,117.0,4.0,7.0,0.0,4,204.0,12.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183,0,0,2,10,18,57,30,5,15,47,1.0,0,0,0,0,0,0,68,115,0.0,0.0,0.01092896174863388,0.0546448087431694,0.09836065573770492,0.3114754098360656,0.16393442622950818,0.0273224043715847,0.08196721311475409,0.2568306010928962,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.37158469945355194,0.6284153005464481,1,1,2008.0,2012.0,0.18885448916408668,0.2443820224719101,0.2693498452012384,0.5137318676731485
1433,blackbi01,Bill,Black,1924-05-04,1924-05-23,6,5,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,0,0,0,0,0,0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1924.0,1924.0,0.2,0.2,0.2,0.4
1438,blackch02,Charlie,Blackmon,2011-06-07,2019-07-24,920,3512,601,1062,185,40,140,425.0,127.0,258,653.0,63.0,22.0,18.0,8,32.0,22.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,920,0,0,0,0,0,0,93,691,131,872,1.0,0,0,0,0,0,0,0,920,0.0,0.0,0.0,0.0,0.0,0.0,0.10108695652173913,0.7510869565217392,0.1423913043478261,0.9478260869565217,0.0010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2011.0,2019.0,0.30239179954441914,0.3570875290472502,0.4974373576309795,0.8545248866782298
1442,blacket01,Ethan,Blackaby,1962-09-06,1964-10-04,15,25,0,3,1,0,0,1.0,0.0,2,10.0,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,0,4,1,3,8,0.0,0,0,0,6,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.06666666666666667,0.2,0.5333333333333333,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0,0,1962.0,1964.0,0.12,0.18518518518518517,0.16,0.34518518518518515
1446,blackge02,George,Blackerby,1928-08-10,1928-09-29,30,83,8,21,0,0,0,12.0,2.0,4,10.0,0.0,4.0,0.0,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0,0,0,20,0,0,20,0.0,0,30,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1928.0,1928.0,0.25301204819277107,0.27472527472527475,0.25301204819277107,0.5277373229180458
1448,blackjo01,John,Black,1911-06-20,1911-09-12,54,186,13,28,4,0,0,7.0,4.0,10,0.0,2.0,3.0,0.0,1,37.0,16.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0,0,53,0,1,0,0,0,0,0,0.0,55,0,0,0,0,0,0,0,0.0,0.0,0.9636363636363636,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1911.0,1911.0,0.15053763440860216,0.19900497512437812,0.17204301075268819,0.37104798587706633
1450,blackle01,Lena,Blackburne,1910-04-14,1929-06-05,550,1807,173,387,39,23,4,139.0,54.0,162,0.0,14.0,103.0,0.0,8,1479.0,155.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550,1,0,2,145,180,212,0,0,0,0,0.0,548,2,0,0,0,0,0,0,0.0018181818181818182,0.0,0.0036363636363636364,0.2636363636363636,0.32727272727272727,0.38545454545454544,0.0,0.0,0.0,0.0,0.0,0.9963636363636363,0.0036363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1910.0,1929.0,0.21416712783619257,0.26989453499520616,0.26784726065301606,0.5377417956482222
1458,bladera01,Ray,Blades,1922-08-19,1932-09-25,767,2415,467,726,133,51,50,340.0,33.0,331,310.0,47.0,53.0,0.0,10,90.0,59.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767,0,0,0,8,14,4,505,1,126,627,0.0,0,767,0,0,0,0,0,0,0.0,0.0,0.0,0.010430247718383311,0.018252933507170794,0.005215123859191656,0.6584093872229465,0.001303780964797914,0.16427640156453716,0.817470664928292,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1922.0,1932.0,0.30062111801242236,0.38791286015460297,0.4600414078674948,0.8479542680220977
1459,bladtri01,Rick,Bladt,1969-06-15,1975-09-28,62,130,14,28,3,1,1,12.0,6.0,11,13.0,1.0,3.0,1.0,2,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0,0,0,0,0,0,2,56,1,58,0.0,0,0,0,0,62,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.9032258064516129,0.016129032258064516,0.9354838709677419,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1969.0,1975.0,0.2153846153846154,0.273972602739726,0.27692307692307694,0.550895679662803
1464,blairbu01,Buddy,Blair,1942-04-14,1942-09-20,137,484,48,135,26,8,5,66.0,1.0,30,30.0,3.0,6.0,0.0,1,234.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137,0,0,0,0,126,0,0,0,0,0,0.0,0,0,137,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9197080291970803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1942.0,1942.0,0.27892561983471076,0.32122370936902483,0.39669421487603307,0.717917924245058
1467,blairfo01,Footsie,Blair,1929-04-28,1931-09-27,246,890,138,243,48,16,10,96.0,11.0,37,88.0,8.0,10.0,0.0,3,599.0,50.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247,0,0,30,161,22,0,0,0,0,0,0.0,0,247,0,0,0,0,0,0,0.0,0.0,0.1214574898785425,0.6518218623481782,0.08906882591093117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1929.0,1931.0,0.27303370786516856,0.3047619047619048,0.39662921348314606,0.7013911182450508
