,playerID,nameFirst,nameLast,debut,finalGame,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,Years_Played,Af,Ef,DPf,HoF,Most Valuable Player,AS_games,Gold Glove,Rookie of the Year,World Series MVP,Silver Slugger,G_all,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,pre1920,1920-41,1942-45,1946-62,1963-76,1977-92,1993-2009,post2009,G_p_percent,G_c_percent,G_1b_percent,G_2b_percent,G_3b_percent,G_ss_percent,G_lf_percent,G_cf_percent,G_rf_percent,G_of_percent,G_dh_percent,pre1920_percent,1920-41_percent,1942-45_percent,1946-62_percent,1963-76_percent,1977-92_percent,1993-2009_percent,post2009_percent,throws_R,bats_R,debutYear,finalYear,AVE,OBP,Slug_Percent,OPS
9501,kirkto01,Tom,Kirk,1947-06-24,1947-06-24,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1947.0,1947.0,0.0,0.0,0.0,0.0
9503,kirrejo01,Joe,Kirrene,1950-10-01,1954-09-25,10,27,4,8,1,0,0,4.0,1.0,5,3.0,1.0,0.0,0.0,2,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0,10,0,0,0,0,0,0.0,0,0,0,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1950.0,1954.0,0.2962962962962963,0.42424242424242425,0.3333333333333333,0.7575757575757576
9506,kisher01,Ernie,Kish,1945-07-29,1945-09-23,43,110,10,27,5,1,0,10.0,0.0,9,9.0,3.0,5.0,0.0,1,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0,0,0,0,0,0,13,8,11,30,0.0,0,0,43,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3023255813953488,0.18604651162790697,0.2558139534883721,0.6976744186046512,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1945.0,1945.0,0.24545454545454545,0.30708661417322836,0.3090909090909091,0.6161775232641374
9510,kitsoch01,Chris,Kitsos,1954-04-21,1954-04-21,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1954.0,1954.0,,,,
9512,kittlro01,Ron,Kittle,1982-09-02,1991-08-13,843,2708,356,648,100,3,176,460.0,16.0,236,744.0,38.0,0.0,31.0,10,51.0,25.0,58.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,843,0,0,72,0,0,0,347,1,5,353,353.0,0,0,0,0,0,843,0,0,0.0,0.0,0.08540925266903915,0.0,0.0,0.0,0.41162514827995256,0.0011862396204033216,0.005931198102016607,0.41874258600237246,0.41874258600237246,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1982.0,1991.0,0.23929098966026588,0.3060073016926651,0.4734121122599705,0.7794194139526356
9515,kivlepa01,Patrick,Kivlehan,2016-08-20,2018-09-30,132,212,31,44,5,3,10,28.0,1.0,24,78.0,5.0,0.0,1.0,3,19.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132,0,0,12,0,7,0,16,4,35,54,0.0,0,0,0,0,0,0,0,132,0.0,0.0,0.09090909090909091,0.0,0.05303030303030303,0.0,0.12121212121212122,0.030303030303030304,0.26515151515151514,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2016.0,2018.0,0.20754716981132076,0.30165289256198347,0.4009433962264151,0.7025962887883985
9518,klassda01,Danny,Klassen,1998-07-04,2003-09-25,85,261,34,59,8,2,6,23.0,2.0,21,84.0,2.0,3.0,0.0,5,165.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,0,0,0,33,40,7,0,0,0,0,0.0,0,0,0,0,0,0,85,0,0.0,0.0,0.0,0.38823529411764707,0.47058823529411764,0.08235294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1998.0,2003.0,0.2260536398467433,0.2857142857142857,0.34099616858237547,0.6267104542966612
9519,klausbi01,Billy,Klaus,1952-04-16,1963-05-17,821,2513,357,626,106,15,40,250.0,14.0,331,285.0,4.0,21.0,0.0,11,1756.0,123.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821,0,0,0,43,272,425,1,0,0,1,0.0,0,0,0,810,11,0,0,0,0.0,0.0,0.0,0.05237515225334957,0.3313032886723508,0.5176613885505481,0.001218026796589525,0.0,0.0,0.001218026796589525,0.0,0.0,0.0,0.0,0.9866017052375152,0.013398294762484775,0.0,0.0,0.0,1,0,1952.0,1963.0,0.24910465578989255,0.33495991634715927,0.35097493036211697,0.6859348467092763
9520,klausbo01,Bobby,Klaus,1964-04-21,1965-10-03,215,590,65,123,25,4,6,29.0,5.0,74,92.0,1.0,6.0,2.0,2,440.0,21.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,0,0,0,115,63,38,0,0,0,0,0.0,0,0,0,0,215,0,0,0,0.0,0.0,0.0,0.5348837209302325,0.2930232558139535,0.17674418604651163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1964.0,1965.0,0.20847457627118643,0.29420505200594355,0.29491525423728815,0.5891203062432318
9523,kleeol01,Ollie,Klee,1925-08-10,1925-08-26,3,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,0,1,0.0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1925.0,1925.0,0.0,0.0,0.0,0.0
